period_number,outcome
1,0
2,1
3,0
4,0
5,0
6,1
7,0
8,0
9,0
10,1
11,0
12,0
13,0
14,0
15,1
16,0
17,1
18,1
19,1
20,0
21,1
22,0
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,0
32,0
33,1
34,1
35,1
36,0
37,1
38,0
39,0
40,0
41,0
42,0
43,1
44,1
45,1
46,1
47,1
48,0
49,1
50,1
51,0
52,1
53,0
54,1
55,0
56,1
57,1
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,1
67,1
68,0
69,1
70,1
71,1
72,1
73,0
74,1
75,0
76,1
77,1
78,1
79,0
80,1
81,0
82,1
83,0
84,1
85,0
86,0
87,1
88,0
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,0
101,0
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,0
111,1
112,0
113,1
114,1
115,0
116,1
117,0
118,1
119,1
120,0
121,1
122,0
123,1
124,0
125,0
126,1
127,1
128,0
129,1
130,1
131,1
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,1
142,0
143,1
144,1
145,1
146,0
147,0
148,0
149,0
150,1
151,0
152,0
153,0
154,0
155,0
156,1
157,0
158,1
159,0
160,1
161,0
162,0
163,1
164,1
165,1
166,0
167,1
168,0
169,0
170,1
171,1
172,0
173,0
174,1
175,1
176,1
177,0
178,0
179,0
180,0
181,0
182,0
183,1
184,0
185,0
186,0
187,1
188,0
189,0
190,1
191,0
192,0
193,0
194,0
195,0
196,1
197,1
198,1
199,0
200,0
201,0
202,1
203,0
204,0
205,1
206,0
207,1
208,1
209,1
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,1
218,0
219,1
220,0
221,0
222,0
223,1
224,1
225,1
226,1
227,0
228,1
229,0
230,0
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,0
240,1
241,1
242,0
243,1
244,0
245,0
246,1
247,0
248,0
249,0
250,0
251,1
252,0
253,1
254,0
255,0
256,0
257,0
258,1
259,1
260,0
261,0
262,1
263,0
264,0
265,0
266,1
267,1
268,1
269,0
270,0
271,1
272,1
273,1
274,1
275,0
276,1
277,0
278,1
279,0
280,1
281,1
282,1
283,1
284,0
285,1
286,0
287,0
288,0
289,0
290,1
291,0
292,0
293,0
294,1
295,1
296,1
297,1
298,0
299,0
300,1
301,0
302,0
303,0
304,1
305,1
306,0
307,1
308,1
309,1
310,1
311,1
312,0
313,1
314,0
315,0
316,1
317,0
318,0
319,0
320,1
321,1
322,0
323,1
324,1
325,1
326,1
327,0
328,0
329,1
330,1
331,0
332,0
333,1
334,0
335,1
336,1
337,0
338,0
339,1
340,1
341,0
342,1
343,0
344,1
345,0
346,0
347,0
348,1
349,1
350,0
351,1
352,0
353,0
354,1
355,1
356,0
357,1
358,1
359,0
360,0
361,1
362,0
363,0
364,1
365,0
366,0
367,1
368,1
369,0
370,0
371,1
372,1
373,1
374,1
375,0
376,1
377,1
378,0
379,1
380,0
381,1
382,1
383,1
384,0
385,0
386,1
387,0
388,0
389,0
390,0
391,0
392,0
393,1
394,1
395,0
396,1
397,1
398,1
399,1
400,0
401,1
402,1
403,0
404,0
405,1
406,1
407,1
408,1
409,1
410,1
411,0
412,1
413,1
414,0
415,0
416,0
417,0
418,1
419,1
